Incident Date,State,City Or County,Address,# Killed,# Injured,Year
2014-02-16,Texas,Dallas,2600 block of South Harwood Street,1,7,2014
2014-02-16,Indiana,Fort Wayne,Lafayette Street and East Tillman Road,0,5,2014
2014-02-15,Nevada,Las Vegas,Sahara and Maryland ,0,5,2014
2014-02-12,Indiana,Gary,2220 block of Broadway,0,5,2014
2014-02-12,California,Oakland,37th and International ,1,3,2014
2014-02-12,California,Stockton,Constitution Park,1,3,2014
2014-02-07,Florida,Miami,Northwest 41st Street and 9th Avenue ,0,5,2014
2014-02-06,Louisiana,New Orleans,4600 block of Downman Road,0,4,2014
2014-02-05,Illinois,Chicago,6740 N Clark St,1,3,2014
2014-02-03,Indiana,Franklin,2100 block of Bridlewood Dr,3,2,2014
2014-01-27,North Carolina,Rocky Mount,821 Word Plaza,0,4,2014
2014-01-27,Washington,Seattle,2nd Avenue South and South Main Street,1,4,2014
2014-01-25,Illinois,Chicago,S. Union Av and W. 51st St,1,4,2014
2014-01-25,Florida,Belle Glade,600 block of Covenant Drive,0,4,2014
2014-01-21,New Jersey,Newark,Springfield Avenue ,2,3,2014
2014-01-20,Virginia,Manassas,8509 Rixlew Ln,0,4,2014
2014-01-16,Oklahoma,Ardmore,H St NE and Martin Luther King Blvd,2,5,2014
2014-01-16,Utah,Spanish Fork,37 N. 630 West,5,0,2014
2014-01-14,California,Los Angeles,West 86th Street,0,4,2014
2014-01-13,Michigan,Detroit,800 block of Calvert St,0,4,2014
2014-01-12,Louisiana,Tallulah,3600 block of Highway 80 W,0,6,2014
2014-01-12,Alabama,Huntsville,University Drive,0,5,2014
2014-01-12,Illinois,Elgin,300 block of North Street,0,5,2014
2014-01-03,New York,Queens,Farmers Boulevard and 133rd Avenue,1,3,2014
2014-01-01,Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2,2014
2015-12-31,Louisiana,New Orleans,1900 block of Amelia Street,0,6,2015
2015-12-27,Tennessee,Jackson,North Parkway,0,4,2015
2015-12-26,Pennsylvania,Philadelphia,4210 Macalester St,0,4,2015
2015-12-25,Florida,Jacksonville,Franklin and Odessa,0,4,2015
2015-12-25,Alabama,Mobile,785 Schillinger Rd S,0,4,2015
2015-12-21,California,San Leandro,14600 block of East 14th Street,0,4,2015
2015-12-20,Florida,Golden Glades,NE 166th St and NE 7th Ave,0,4,2015
2015-12-20,North Carolina,Wilmington,11th and Castle Street,1,4,2015
2015-12-20,Florida,Miami (Goulds),21630 Southwest 120th Avenue,1,4,2015
2015-12-13,California,Los Angeles,5550 S. Flower Street,1,3,2015
2015-12-13,California,Huntington Beach,17000 block of Keelson Lane,0,4,2015
2015-12-12,Georgia,Savannah,Whitaker Street,0,4,2015
2015-12-12,Illinois,Lovejoy (Brooklyn),307 Jefferson St,1,3,2015
2015-12-11,Maryland,Baltimore,5100 block of Park Heights Avenue,1,3,2015
